objectid,temp sort,Note,Christin Newell,page_header,title,series,date_first_issued (cew new),date,date_text,creator,signature,seal,description,misc,publisher,carver,printer,Author (cew new),Editor (cew new),publication_date_messy,impression_quality,colors,condition,genre,format_print,size_image,size_sheet,lit//ref lit,collections,catalog,catalog_altform,catalog_2_orig_ref,location,latitude,longitude,type,format,filename,image_thumb,artistid (temporarily using for notes-cew),image_small,print_link
ihl-0011,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021","Shinozuka Uraemon, the announcer of the Miyako Theater  ",,,1940,after 1940 (orig. 1794) ,Tōshūsai Sharaku 東洲斎写楽 (active 1794-1795),n.a.,n.a.,[modern reproduction published by Adachi hanga], ,Adachi hanga,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 15 5/16 x 10 3/8 in.,sheet: 15 5/16 x 10 3/8 in.,n.a.,n.a.,IHL.0011,IHL.11,IHL Catalog #11,,,,Image;StillImage,image/jpeg,ihl-0011.jpg,ihl-0011_th.jpg,,ihl-0011_sm.jpg,https://www.myjapanesehanga.com/home/in-queue---19th-century-woodblock-prints.htmll
ihl-0012,,,CN Complete,In a Kyoto Sweets Shop 京のしるこ屋 Kyo no shiruko-ya,In a Kyoto Sweets Shop (京のしるこ屋 Kyo no shiruko-ya),,1951 original publication date,1951,1951 original publication date,"Yoshida Tōshi 吉田遠志
(1911-1995)","Toshi Yoshida in English in bottom margin and ""Toshi"" in Japanese in lower right of image","red ""Yoshida"" in lower right of image","A maiko is about to lift ohagi (a sweet made from boiled rice and red azuki beans) to her mouth, in this lovely, but empty, Kyoto sweets shop.",,Yoshida family studio,,,,,1951 original publication date,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format ōban-tate,H x W Image 14 3/4 x 9 5/8 in. (37.5 x 24.5 cm),H x W Paper 15 3/4 x 10 7/8 in. (40.0 x 27.6 cm),,Collections This Print Honolulu Museum of Art 25350,IHL.0012,IHL.12,IHL Catalog #12,,,,Image;StillImage,image/jpeg,ihl-0012.jpg,ihl-0012_th.jpg,,ihl-0012_sm.jpg,https://www.myjapanesehanga.com/home/artists/toshi-yoshida-1911-1995-/in-a-kyoto-sweet-shop.html
ihl-0013,,,CN Complete,Wild Geese (Gan),Wild Geese (Gan),,originally issued 1926,1926,originally issued 1926,Ohara Koson 小原古邨 (Shōson 祥邨) (1877-1945)小原古邨 (1877 - 1945),Shōson 祥邨,Shōson 祥邨,"Edition Later edition (c. 1946-1957) with black circular 6 mm Watanabe type-I seal in lower right hand corner of image.  This print was purchased in the mid-1950s.

Originally issued in 1926, this collection's print is a later edition c. 1946-1957.",,"Watanabe Shōzaburōワタナベ [Watanabe]Watanabe ""A-type"" 6mm round seal]",,,,,originally issued 1926,Impression excellent,Colors excellent,Condition excellent - pin hole upper left margin,Genre shin hanga,Format ōban-tate,H x W Image 14 1/4 x 9 3/4 in. (36.2 x 24.8 cm),H x W Paper 15 3/8 x 10 1/4 in. (39.1 x 26 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2001,S-11.5 (cat. 149); Modern Japanese Prints, Dorothy Blair, re-print of the 1931 and 1936 exhibition catalogs, The Toledo Museum of Art, 1997, figure 180;Fresh Impressions: Early Modern Japanese Prints, Carol M. Putney, et. al., Toledo Museum of Art, 2014, Cat. 187, p. 219;Catalogue of Wood-Cut Colour Prints of S. Watanabe, 1936, p. 97, cat. O8 titled """"Wild-Geese flying over reeds""","Collections This Print Los Angeles County Museum of Art M.2000.105.102 (no edition noted); Art Gallery of New South Wales 28.2009 (likely first edition); Rijksmuseum RP-P-1999-490(seal type D); Toledo Museum of Art 1930, no. 180 (Watanabe type-B seal)",IHL.0013,IHL.13,IHL Catalog #13,,,,Image;StillImage,image/jpeg,ihl-0013.jpg,ihl-0013_th.jpg,,ihl-0013_sm.jpg,https://www.myjapanesehanga.com/home/artists/ohara-koson-1877---1945-/wil.html
ihl-0014,,,CN Complete,Swallow and Wisteria,Swallow and Wisteria,,"Publishing Date unknown, but likely 1921/1939 based upon ""MADE IN JAPAN"" stamp verso",1921,"Publishing Date unknown, but likely 1921/1939 based upon ""MADE IN JAPAN"" stamp verso",Ohara Koson 小原古邨 (Shōson 祥邨) (1877-1945)小原古邨 (1877 - 1945),Koson古邨,Koson古邨 ,"Edition unknown edition with no publisher's seal

One of over fifty prints the artist made in the square shikishiban format. It is possible this print was published by the Daikokuya publishing house.  If so, it was likely printed c. 1930s or possibly early 1940s, after Daikokuya was taken over by S. Koizumi from the Matsuki family.  This print is stamped ""MADE IN JAPAN"" on the verso, as show below.  For another Koson print in this collection in the shikishiban format see Pheasant.",,"no publisher listed in Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945 but possibly Daikokuya",,,,,"Publishing Date unknown, but likely 1921/1939 based upon ""MADE IN JAPAN"" stamp verso",Impression excellent,Colors fair,Condition fair - overall fading due to bleaching of print to remove heavy toning; paper thinning; tape remnants verso; wrinkling; pencil writing verso,Genre shin hanga,Format shikishi-ban,H x W Image 9 1/2 x 9 3/4 in. (24.1 x 24.8 cm),H x W Paper 10 7/8 x 11 1/4 in. (27.6 x 28.6 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2003, p. 191, K28.6.",,IHL.0014,IHL.14,IHL Catalog #14,,,,Image;StillImage,image/jpeg,ihl-0014.jpg,ihl-0014_th.jpg,,ihl-0014_sm.jpg,https://www.myjapanesehanga.com/home/artists/ohara-koson-1877---1945-/swallow-and-wisteria.html
ihl-0015,,,CN Complete,Herons in Reeds (Ashi ni Sagi),Herons in Reeds (Ashi ni Sagi),,originally issued 1926,1926,originally issued 1926,Ohara Koson 小原古邨 (Shōson 祥邨) (1877-1945)小原古邨 (1877 - 1945),Shōson祥邨,Shōson 祥邨,"Edition Later edition (c. 1946-1957) with black circular 6 mm Watanabe type-I seal in lower right hand corner of image.

Originally issued in 1926, this collection's print is a later edition c. 1946-1957.",,"Watanabe Shōzaburōワタナベ [Watanabe]Watanabe ""A-type"" 6mm round seal]",,,,,originally issued 1926,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format ōban-tate,H x W Image 14 1/4 x 9 1/2 in. (36.2 x 24.1 cm),H x W Paper 15 1/2 x 10 1/4 in. (38.7 x 26 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2001,S14.4 (cat. 155); Printed to Perfection - Twentieth-century Japanese Prints from the Robert O. Muller Collection, Mervis, Newland, et. al., Hotei Publishing, 2004, p. 55, pl. 30; Modern Japanese Prints, Dorothy Blair, re-print of the 1931 and 1936 exhibition catalogs, The Toledo Museum of Art, 1997, figure 174;Fresh Impressions: Early Modern Japanese Prints, Carol M. Putney, et. al., Toledo Museum of Art, 2014, Cat. 181, p. 214;Catalogue of Wood-Cut Colour Prints of S. Watanabe, 1936, p. 97, cat. O2 titled ""Herons and Reeds (under the Crescent)""","Collections This Print Los Angeles County Museum of Art M.71.100.129 (no edition noted) and M.2000.105.145 (no edition noted); Smithsonian Institution Arthur M. Sackler Gallery S2003.8.2046 (first edition with Watanabe type-B seal); Toledo Museum of Art 1930, no. 174 (Watanabe type-B seal)",IHL.0015,IHL.15,IHL Catalog #15,,,,Image;StillImage,image/jpeg,ihl-0015.jpg,ihl-0015_th.jpg,,ihl-0015_sm.jpg,https://www.myjapanesehanga.com/home/artists/ohara-koson-1877---1945-/herons-in-reeds.html
ihl-0016,,Series Correct?,CN Complete,Pheasant 雉 ,Pheasant (雉),,1921/1939,1921,1921/1939,Ohara Koson 小原古邨 (Shōson 祥邨) (1877-1945)小原古邨 (1877 - 1945),Koson古邨,Koson古邨 ,"Edition Unknown edition with no publisher's seal.  See the image from the Indianapolis Museum of Art, above, for another printing of this image.

One of a large number of prints the artist made in the square shikishiban format.  Many were published by the Tokyo publisher Daikokuya. It is unclear exactly when Daikokuya published these prints, but it is likely they were printed c. 1930s or possibly early 1940s, after Daikokuya was taken over by S. Koizumi from the Matsuki family.  This print is stamped with the number 1 and ""Made in Japan"" on the verso, as show below. The date 8/19/47 is also written on the back.  For another Koson print in this collection in this format see Swallow and Wisteria.

There is also another state of this print without the black border, shown below, that can be found in the online collection of the Indianapolis Museum of Art. ","Titled as ""Colourful pheasant looking to the right"" in ""Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945.""",Daikokuya (Matsuki Heikichi),,,,,1921/1939,Impression excellent,Colors excellent,Condition good - toning on top and bottom on verso and top and side edge of front. Wrinkling on top left margin.,Genre shin hanga,Format shikishi-ban,H x W Image 9 1/4 x 9 3/4 in. (23.5 x 24.8 cm),H x W Paper 10 3/4 x 11 1/4 in. (27.3 x 28.6 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2003, K21.6",,IHL.0016,IHL.16,IHL Catalog #16,,,,Image;StillImage,image/jpeg,ihl-0016.jpg,ihl-0016_th.jpg,,ihl-0016_sm.jpg,https://www.myjapanesehanga.com/home/artists/ohara-koson-1877---1945-/pheasant.html
ihl-0017,cew added 20220302 -needs extra cleaning,Famous Views of Kyoto (京都名所之内 祇園社雪中 Kyōto meisho no uchi Gion-sha setchū),CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021",The Gion Shrine in Snow (Gionsha setchū),Famous Views of Kyoto,,1936,c. 1936 (orig. c. 1834),Utagawa Hiroshige 歌川広重 (1797-1858),n.a.,n.a.,, ,modern reproduction published by Watanabe,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 8 3/8 x 13 9/16 in.,sheet: 9 1/4 x 14 3/4 in.,n.a.,n.a.,IHL.0017,IHL.17,IHL Catalog #17,,,,Image;StillImage,image/jpeg,ihl-0017.jpg,ihl-0017_th.jpg,,ihl-0017_sm.jpg,https://www.myjapanesehanga.com/home/in-queue---19th-century-woodblock-prints.html
ihl-0018,,,CN Complete,Ikebana生花,Ikebana (生花),,originally published 1954,1954,originally published 1954,Kasamatsu Shirō 笠松紫浪 (1898–1991),Shirō紫浪,Shirō 紫浪,"Edition likely a first edition as indicated by date in Kanji on the bottom of the left margin (For more information on dating Unsōdō prints see the article Unsōdō Publishing.)

Similar in composition to Tea Ceremony (IHL Cat. #8 and #117), a woman with hasami in hand, arranges flowers.
",,Unsōdō Publishing 芸艸堂 版 Unsōdō han seal bottom left margin top-most seal,"Nagashima Michio長嶋道男彫 長嶋""hori Nagashima"" bottom left margin 3rd seal down",Printer Shinmi Saburō新味三朗,,,originally published 1954,Impression excellent,Colors excellent,"Condition poor - mat line around perimeter of image; heavy toning verso, light toning front; tape across top and bottom margins verso",Genre shin hanga,Format horizontal ōban,H x W Image 14 3/8 x 9 1/2 in. (36.5 x 24.1 cm),H x W Paper 16 x 10 1/2 in. (40.6 x 26.7 cm),,"Collections This Print Catalogue Raisonné: U-160 as listed in Shiro Kasamatsu - The Complete Woodblock Prints, Dr. Andreas Gund, self-published by the author, 2001;",IHL.0018,IHL.18,IHL Catalog #18,,,,Image;StillImage,image/jpeg,ihl-0018.jpg,ihl-0018_th.jpg,,ihl-0018_sm.jpg,https://www.myjapanesehanga.com/home/artists/shiro-kasamatsu-1898-1991-/ikebana.html
ihl-0019,,,CN Complete,"Rainy Night at Shinobazu Pond 夜雨 不忍池 Yoru ame, Shinobazunoeki","Rainy Night at Shinobazu Pond (夜雨 不忍池 Yoru ame, Shinobazunoeki)",,Date originally published January 1938,1938,Date originally published January 1938,Kasamatsu Shirō 笠松紫浪 (1898–1991),Shirō紫浪,Shirō 紫浪,"IHL Catalog #19, #1207
Edition #19 - Later c. 1946-1957 edition with 6mm Watanabe seal in lower right hand corner of image  [Marks: seal 08-034; pub. ref. 576] Note: image of seal has been enhanced as the black seal is is very difficult to see set against the dark purple background. ワタナベ Watanabe Shōzaburō (written in Katakana) #1207 - Likely a first edition with ""E"" type Watanabe seal in lower right margin 
版権所有不許複製渡邊庄三郎 hankenshoyû fukyofukusei Watanabe Shōzaburō copyright reserved, all rights reserved Watanabe Shōzaburō

A solitary figure walks toward Benten Temple under a steady rain.  This print was issued in two color schemes, the more commonly encountered being the purple-hued IHL Cat. #19.  Both color schemes were first issued in 1938 I believe, as both can be found with the Watanabe type-E publishing seal used by the publisher between 1931 and 1941.  
 
For other prints depicting Shinobazu Pond see Kasamatsu's Hazy Evening at Shinobazu Pond and Kawase Hasui's (1883-1957) Night at Shinobazu Pond.",,Watanabe Shōzaburō ,,,,,Date originally published January 1938,Impression #19 and #1207: excellent,Colors #19 and #1207: excellent,Condition #19: good - slight overall toning (slightly more pronounced in bottom inch of print) and a 1/3 inch thin scratch in top left portion of image. #1207: good - slight toning most prominent along lower margin; tape remnants top margin verso resulting in minor paper loss in top margin on left,Genre shin hanga,Format horizontal ōban,H x W Image # 19: 14 3/16 x 9 3/8 in. (36 x 23.8 cm)#1207: 14 3/16 x 9 3/8 in. (36 x 23.8 cm),H x W Paper #19: 15 3/8 x 10 3/8 in. (39 x 26.4 cm)#1207:14 7/8 x 10 1/16 in. (37.8 x 25.6 cm),"Reference Literature Catalogue Raisonné: W-35 as listed in Shiro Kasamatsu - The Complete Woodblock Prints, Dr. Andreas Gund, self-published by the author, 2001;Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 246, p. 62.","Collections This Print National Museum of Modern Art, Tokyo P00211-028 (unknown edition); Los Angeles County Museum of Art M73.37.354 (purple-hued with 6mm round Watanabe publisher seal in lower right of image, as in this print); Art Institute Chicago 1990.607.242 (purple-hued with unreadable seal); The Art Gallery University of Maryland 2013.2.3.5 (no image shown);Harvard Art Museums/Arthur M. Sackler Museum 1982.44 (purple-hued with 6mm round Watanabe publisher seal in red lower left of image)",IHL.0019,IHL.19,"IHL Catalog #19, #1207",,,,Image;StillImage,image/jpeg,ihl-0019.jpg,ihl-0019_th.jpg,,ihl-0019_sm.jpg,https://www.myjapanesehanga.com/home/artists/shiro-kasamatsu-1898-1991-/rainy-night-at-shinobazu-pond.html
ihl-0020,,,CN Complete,Mandarin Ducks in Pond (after a c. 1820 painting by Matsumura Keibun),Mandarin Ducks in Pond ,,unknown but identified by Adams Japanese Prints as c.1920s-30s,1920,unknown but identified by Adams Japanese Prints as c.1920s-30s,Matsumura Keibun 景文松村 (1779-1843),Keibun bottom right of image,unidentified red below signature,,,unknown,,unknown,,,unknown but identified by Adams Japanese Prints as c.1920s-30s,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format horizontal ōban,H x W Image 9 1/2 x 14 1/4 in. (24.1 x 36.2 cm),H x W Paper 10 3/4 x 15 1/2 in. (27.3 x 39.4 cm),,,IHL.0020,IHL.20,IHL Catalog #20,,,,Image;StillImage,image/jpeg,ihl-0020.jpg,ihl-0020_th.jpg,,ihl-0020_sm.jpg,https://www.myjapanesehanga.com/home/artists/matsumura-keibun/mandarin-ducks-on-pond.html
ihl-0021,,,CN Complete,"Teranohama, Sanuki Coast讃岐海岸寺の浜Sanuki Kaiganji no hama","Teranohama, Sanuki Coast (讃岐海岸寺の浜 Sanuki Kaiganji no hama)","Collection of Scenic Views of Japan II, Kansai edition (日本風景集関西篇 Nihon fūkei shū II Kansai hen)",May 1934 date of original publication,1934,May 1934 date of original publication,"Kawase Hasui 川瀬巴水
(1883-1957)",Hasui 巴水,Hasui 巴水,,,"Watanabe Shōzaburō Watanabe ""A""-type seal (in use from approximately 1918-1924 and 1945-1957) reading (in Katakana):ワタナベ Watanabe Shōzaburō",,,,,May 1934 date of original publication,Impression excellent,Colors excellent,Condition excellent - light overall toning,Genre shin hanga,Format horizontal ōban,H x W Image 9 3/8 x 14 1/4 in. (23.8 x 36.2 cm),H x W Paper 10 3/8 x 15 3/8 in. (26.4 x 39.1 cm),"Reference Literature Catalogue Raisonné: Kawase Hasui; The Complete Woodblock Prints,Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 100, pl. 326;Kawase Hasui and His Contemporaries: The Shin Hanga (New Print) Movement in Landscape Art, Irwin J. Patcher, Everson Museum of Art, Syracuse, 1986, p. 70, pl. 77.","Collections This Print  Los Angeles County Museum of Modern Art M.73.37.97 (6mm type ""A"" seal visible lower right corner; print is titled by Museum as Beach of Kaigan Dera, Sanuki,); Museum of Fine Arts, Boston 50.669 (""E"" type seal); The National Museum of Modern Art, Tokyo P00138-041 (unspecified edition with no visible seal; print is titled by Museum as Tranohama Beach, Sanuki); MAK Vienna: Austrian Museum of Applied Arts/Contemporary Art K.I. 13612-004; Honolulu Academy of Arts 19207 (""E"" type seal)",IHL.0021,IHL.21,IHL Catalog #21,,,,Image;StillImage,image/jpeg,ihl-0021.jpg,ihl-0021_th.jpg,,ihl-0021_sm.jpg,https://www.myjapanesehanga.com/home/artists/kawase-hasui/teranohama-sanuki-coast.html
ihl-0022,,,CN Complete,"Morning at the Arayu Spa, Shiobara湯宿の朝（塩原新湯）Tōyado no asa (Shiobara Arayu)","Morning at the Arayu Spa, Shiobara (湯宿の朝 塩原新湯 Tōyado no asa Shiobara Arayu)",,1946,1946,1946,"Kawase Hasui 川瀬巴水
(1883-1957)",Hasui 巴水,Hasui 巴水,,,"Watanabe Shōzaburō Watanabe ""A""-type seal (in use from approximately 1918-1924 and 1945-1957) reading (in Katakana): ワタナベ Watanabe Shōzaburō",,,,,1946,Impression excellent,Colors excellent,"Condition good - moderate overall toning; minor ink offsetting in margins; two dark 2"" x 1/2"" tape remnants along top verso",Genre shin hanga,Format horizontal ōban,H x W Image 10 x 14 1/8 in. (25.4 x 35.9 cm),H x W Paper 10 7/8 x 15 1/8 in. (27.6 x 38.4 cm),"Reference Literature Catalogue Raisonné: Kawase Hasui; The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 120, pl. 485","Collections This Print Los Angeles County Museum of Art M.73.37.291 (6mm seal lower right of image; The National Museum of Modern Art, Tokyo P00138-126 (6mm seal lower right of image)",IHL.0022,IHL.22,IHL Catalog #22,,,,Image;StillImage,image/jpeg,ihl-0022.jpg,ihl-0022_th.jpg,,ihl-0022_sm.jpg,https://www.myjapanesehanga.com/home/artists/kawase-hasui/morning-at-the-arayu-spa-shiobara.html
ihl-0023,,,CN Complete,Scene of Big Fire at Ryogoku from Hama-cho(Hamacho Yori Utsusu Ryogoku Taika 浜町より写す両国大火),Scene of Big Fire at Ryogoku from Hama-cho (浜町より写す両国大火 Hamacho Yori Utsusu Ryogoku Taika),Famous Views of Tokyo (Tokyo meisho),originally 1881 (Meiji 14) by Fukuda Kumajirô. This print c. 1950,1950,originally 1881 (Meiji 14) by Fukuda Kumajirô. This print c. 1950,Kobayashi Kiyochika 小林清親 (1847-1915),Kobayashi Kiyochika hitsu 小林清親筆,none,"Edition c. 1950s from recut blocks

This print was made in the 1950s by the Kyoto publisher Maria Shobo from recut woodblocks, copying the original 1881 design. Two series of Kiyochika designs, each consisting of 12 prints, were issued.  The recut prints generally, but not always, have the publisher's identifying Ma character beneath the cartouche in the print's margin.  Maria Shobo was established in 1924 and continues to publish books.

This print was originally issued as part of a loosely constructed series Famous Views of Tokyo (Tokyo meisho) consisting of 93 prints issued from 1876-1881 by two publishers, Matsuki Heikichi and Fukuda Kumajirô.  For additional information on this series see ""Early Woodblock Prints: The Series Famous Views of Tokyo (Tokyo meisho) 1876-1881"" on the Kobayashi Kiyochika (1847-1915) page.",,"Maria Shoboマリア書房, Kyoto (Note the publisher's single katakana character,マ (Ma) appears just below the margin cartouche, as shown left.)",,,,,originally 1881 (Meiji 14) by Fukuda Kumajirô. This print c. 1950,Impression excellent,Colors excellent,Condition excellent,Genre ukiyo-e;meisho-e;fukusei-ga,Format horizontal ōban,H x W Image 8 1/4 x 12 3/4 in. (21 x 32.4 cm),H x W Paper 9 1/4 x 13 7/8 in. (23.5 x 35.2 cm),"Literature Kiyochika: Artist of Meiji Japan, Henry D. Smith II, Santa Barbara Museum of Art, 1988, p. 50, fig. 4;Imperial Japan: The Art of the Meiji Era (1868-1912), Frederick Baekeland, Herbert F. Johnson Museum of Art, Cornell University, 1980, p. 126, pl. 65.",Collections This Print Los Angeles County Museum of Art M.71.100.149 (1881 printing); Santa Barbara Museum of Art 1986.31.12 (1881 printing); Museum of Fine Arts Boston 63.780 (1881 printing); Chazen Museum of Art 1980.2484 (1881 printing),IHL.0023,IHL.23,IHL Catalog #23,,,,Image;StillImage,image/jpeg,ihl-0023.jpg,ihl-0023_th.jpg,,ihl-0023_sm.jpg,https://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/fire-at-ryogoku-from-hama-cho.html
ihl-0024,,,CN Complete,"Snow Scene at Toshogu Shrine, Ueno (Ueno Toshogu Sekisetsu no Zu) 清親　上野東照宮積雪之図","Snow Scene at Toshogu Shrine, Ueno (清親 上野東照宮積雪之図 Ueno Toshogu Sekisetsu no Zu) ",Famous Views of Tokyo (Tokyo meisho),originally July 1879 (Meiji 12) by Fukuda Kumajirô. This print c. 1950,1950,originally July 1879 (Meiji 12) by Fukuda Kumajirô. This print c. 1950,Kobayashi Kiyochika 小林清親 (1847-1915),Kobayashi Kiyochika hitsu 小林清親筆,none,"Edition c. 1950s from recut blocks
This print was made in the 1950s by the Kyoto publisher Maria Shobo from recut woodblocks, copying the original 1879 design. Two series of Kiyochika designs, each consisting of 12 prints were issued.  The recut prints generally, but not always, have the publisher's identifying Ma character beneath the cartouche in the print's margin.  Maria Shobo was established in 1924 and continues to publish books.

This print was originally issued as part of a loosely constructed series Famous Views of Tokyo (Tokyo meisho) consisting of 93 prints issued from 1876-1881 by two publishers, Matsuki Heikichi and Fukuda Kumajirô.  For additional information on this series see ""Early Woodblock Prints: The Series Famous Views of Tokyo (Tokyo meisho) 1876-1881"" on the Kobayashi Kiyochika (1847-1915) page.",,"Maria Shoboマリア書房, Kyoto (The publisher's single katakana character,マ (Ma) normally appearing just below the margin cartouche, as shown below, is absent from all copies of this reprint.)",,,,,originally July 1879 (Meiji 12) by Fukuda Kumajirô. This print c. 1950,Impression excellent,Colors excellent,Condition excellent - minor mounting residue top margin verso from original folio mounting,Genre ukiyo-e; meisho-e; fukusei-ga,Format horizontal ōban,H x W Image 8 1/8 x 12 3/4 in. (20.6 x 32.4 cm),H x W Paper 9 1/4 x 13 7/8 in. (23.5 x 35.2 cm),"Literature Kiyochika: Artist of Meiji Japan, Henry D. Smith II, Santa Barbara Museum of Art, 1988, p. 127, fig. 140","Collections This Print British Museum 1948,0410,0.119 (1879 printing); Los Angeles County Museum of Art M.71.100.799 (1879 printing); Santa Barbara Museum of Art 1986.63.1 (1879 printing); Museum of Fine Arts Boston 50.426 (1879 printing)",IHL.0024,IHL.24,IHL Catalog #24,,,,Image;StillImage,image/jpeg,ihl-0024.jpg,ihl-0024_th.jpg,,ihl-0024_sm.jpg,https://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/snow-at-toshogu-shrine.html
ihl-0025,,,CN Complete,Evening Rain Yanaka Pagoda Tokyo雨に暮るる塔 (東京谷中)Amne ni kureru tō - Tōkyō Yanaka,Evening Rain Yanaka Pagoda Tokyo (雨に暮るる塔  -  東京谷中 Amne ni kureru tō - Tōkyō Yanaka),,originally published 1932,1932,originally published 1932,Kasamatsu Shirō 笠松紫浪 (1898–1991),Shirō紫浪,Shirō紫浪 red seal ,"Edition Later edition (after 1957) with black 7 mm Watanabe seal in lower left hand corner of image 

Print #164. Pagoda In Rain At Dusk (Ame ni Kururu To)
A rainy evening at Ueno Park, Tokyo, in the district called Yanaka.  The woman in the foreground wears a raincoat and high rain-shoes; on her arm she carries something wrapped in a furoshiki, or square of silk used by the Japanese to encase parcels of all kind.
Signed at lower right, Shiro; red seal, Shiro.  Left margin: the Japanese title; the date, “Showa Shichi Nen Banshun” (Late spring, 7th Year of Showa [1932]).  Right margin: copyright stamp of the publisher, Watanabe of Tokyo.  Blocks, about 20; superimposed printings, about 25; edition, 200.",,Watanabe Shōzaburō seal reading ワタナベ Watanabe [Marks: seal 08-034; pub. ref. 576],,,,,originally published 1932,Impression excellent,Colors excellent,Condition excellent - tipped to presentation sheet in two spots along left margin,Genre shin hanga,Format horizontal ōban,H x W Image 14 1/4 x 9 1/2 in. (36.2 x 23.8 cm),H x W Paper 15 1/2 x 10 3/8 in. (39 x 26.4 cm),"Reference Literature Catalogue Raisonné: W-8 as listed in Shiro Kasamatsu - The Complete Woodblock Prints, Dr. Andreas Gund, self-published by the author, 2001, Tokyo;The Gallery Collects Shin Hanga, Barry Till, Art Gallery of Greater Victoria, 1996, plate 32; Modern Japanese Prints, Dorothy Blair, re-print of the 1931 and 1936 exhibition catalogues, The Toledo Museum of Art, 1997, print #164; Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 231, p. 58;Shin Hanga, The New Print Movement of Japan,Barry Till, Pomegranate, 2007, p. 80.","Collections This Print University of Iowa Museum of Art 1968_174 (round black Watanabe publisher seal, diameter unknown, lower left of image); Museum of Fine Arts, Boston 50.273 (with Watanabe D-type seal in lower right margin); National Museum of Modern Art, Tokyo P00211-039 (unknown edition); Art Gallery of Greater Victoria AGGV 85.31 (unspecified edition); Portland Art Museum 2006.93.4",IHL.0025,IHL.25,IHL Catalog #25,,,,Image;StillImage,image/jpeg,ihl-0025.jpg,ihl-0025_th.jpg,,ihl-0025_sm.jpg,https://www.myjapanesehanga.com/home/artists/shiro-kasamatsu-1898-1991-/evening-rain-yanaka-pagoda-tokyo.html
